WORD1;WORD2
backing strap;накладная планка
Backing system;Подкладочная система
backlog;задолженность, невыполненные заказы
back-run;подварка, подварочный шов
back-up of door;задняя часть двери
back-up weld;подварочный шов
backward running;обратный ход, задний ход
baffle;дефлектор
balance;весы
balance of payment;расчетный баланс
Ball transfer unit;Шариковая передаточная установка
ball valve;шаровой клапан
Ballast suction;Приемная труба балластной системы
ballast system;балластная система
ballast tank;баластная цистерна
ballasting;балластировка
band;Полоса (широкая)
band saw;ленточная пила
Bandage gauze;Марлевый бинт (бандаж)
banister;Стойка поручня, балясина, поручень, перила
Banqueting room;Банкетный зал
Bar;Пруток, оголовок, планка, штанга, брус, балка
bar stop;стопор штанги
barrel;Бочка
Barrel bolt;"Болт с цилиндрической головкой; дверной засов; язычок замка"
baryte;Барит
base;основа
base line;основная линия
Base material;Основной материал
Base plate;Опорная плита
Based on;На основании
basis design;базовый проект
Batch;Набор, комплект, партия, серия
Batch measurement equipment;Оборудование по дозировке
bathroom cabin;санитарная кабина
Batten;Рейка, планка
battery room;аккумуляторный отсек
Bay;Пролет, отсек, секция, штатив, стойка, ниша, панель, водоем, бассейн
Bay;Пролет
bead;наплавка
bead (beading) weld;шов, полученный без поперечных перемещений электрода, узкий шов
beading;Наплавка валиком
beads;Сетка для пин-джигов (?)
beam;балка, ферма, бимс
bearing;подшипник
Bearing ring;Опорное кольцо
Bearing sight;Визир, прицел пеленгатора
bearing-shield;опорный щит
Bed die;Нижний штамп (в прессе), матрица
bed reading lamp;светильник прикроватный
bed shield;прикроватный щит
bed-pullman type;кровать-пульман
Bedside table;Тумбочка
beech;Бук
Beforehand;Предварительно
belaying cleat;утка
belt;поясок
bench;скамья-диван
bench tests;стендовые испытания
bender;гибочный пресс
bending;гибка
bending machine;гибочный станок
Bending press;Обкантный пресс
Bending site;Участок гибки деталей из профиля
Bending strength;Прочность на изгиб
benefit;выгода, преимущество, пособие
Berth;Причал, якорная стоянка, стапель
bevel;малка
Bevel plasma;Плазменная резка фаски
bevel weld;шов со скосом кромок
bevelling;скос кромки
bias;наклон, уклон
bib tap;кран с загнутым вниз носиком
bid;Предложение цены
bilge;днище, колодец, скула
Bilge boards;Пайол
Bilge ejector;Трюмный эжектор
Bilge keel;Скуловой киль, бортовой киль
Bilge pump;Сливной насос, трюмный насос
bilge system;осушительная система
bilge water separator;сепаратор трюмной воды
bilge well;сточный колодец
Bill of materials;Лимитка,ведомость материалов
binder;связующее вещество
bitt;станина
blacksmith’s weld;соединение, полученное кузнечной сваркой
blade;лопасть
blade-bolt;болт лопасти
Blanket;Покрытие (защитное), защитный слой
Blast;Воздуходувка
Blast hall;Помещение дробеструйной очистки
blind flange;заглушка
Blistering;Пузырение, вспучивание, металлическое томление
block capital;большая буква
Block compartment;Отсек блока
Block erection on the building berth;Закладка блока на стапель
Blow up pipe;Продувная труба (?)
blow-off;выпуск воздуха
Blow- through;Продувка
Blue fitter;судосборщик
Blue-collar worker;синий воротничок, производственный рабочий
blueprint;"Делать светокопию; вырабатывать, планировать, намечать"
board;Плита
Boarding;Настил из досок
boarding-house;дом отдыха
boat;шлюпка, лодка
Boat cradle;Шлюпочный киль-блок, ростр-блок
boat deck;шлюпочная палуба
Boatman;Сигнальщик, наблюдатель за движением шлюпок на рейде, лодочник, яличник
Boatman load;Шкиперская кладовая
boatswain’s mate;боцман
bob cat;маленький трактор для собирания шлака (ставится под секцию), тележка для сборки грита
body;Корпус
body plan;теоретический чертеж судна (матмодель)
bogie system;система тележек (для транспортировки блоков)
Boiler fittings;Арматура котла
Boiling deck;Стол для варки
bollard;кнехт, пал
Bollard pull;Тяговое усилие на швартовах
bolster;Опорная подушка
bolt;болт
bolt gun nail;пистолет
Bolting;Болтовое соединение
Bolt-in-type unit;Узел, закрепленный болтами
bond;соединение
Bonded coating;Покрытие со связующим
Bonded rubber rail;Связующий резиновый брусок (амортизатор)
Bonded store;Расходная кладовая, таможенный склад
Bonding agent;Связующий материал
bonus;премия
bookshelf;книжная полка
boom;"ростверк, ростр; укосина (крана)"
booth;будка
Boottop;Пояс переменных ВЛ (полоса наружного борта коробля)
bore;внутренний диаметр
boring unit;сверлильная установка
Boss (of sternpost );Отливка (яблока ахтерштевня)
Boss for shaft;Ступица гребного вала
Bossing;выкружка
Bosun chair;Боцманский стул (?)
bottle neck;основные события (вопросы)
bottom (spot) weld;точечное соединение при сварке толстых листов с круглыми накладками малого диаметра
Bottom ceiling;Пайол
Bottom edge;Нижняя кромка (листа)
bottom plating;днищевая обшивка
Bottom plug;Пробка водоотливного отверстия днища, днищевая пробка
bottom-deep;дно-углубление
bottom-outboard fittings plant;установка донно-забортной арматуры (ДЗА)
Bottom-profile;Нижний профиль
bottom-side system;донно-бортовая система
bow;нос
bow thruster;Носовое подруливающее устройство
Bow thruster tunnel;Труба носового подруливающего устройства
box;Короб, ящик
brace;Контрфорс, раскос, укосина, брас, оттяжка, подпора
brack;Брак
bracket;бракета кронштейн
Brake plate;"Тормозной диск; тормозная плита (!)"
branch pipe;патрубок
brass;латунь
Breach;Нарушение, разрыв, оскорбление
Breakdown rate;Норма/степень разрушения
Breaking force;Разрушающее усилие
Breaking load;Разрушающая нагрузка
Breakwater;Волнолом
Breast hook;Брештук
breast-wall;подпорная стенка
brick;брусок, кирпич, заглушка
bridge;Перемычка
bridge deck;мостиковая палуба
bridge seam weld;соединение, полученное при роликовой сварке встык с накладкой
bridge spot weld;точечное соединение встык с накладкой
bridle;Бридель, шпрюйт(ов) для булиня, строп
brief description;краткое описание
Brief period of time;Сжатые сроки
briefing;инструктаж, инструктивное совещание
brim;Обечайка, край, кромка
Brine tank;Рассольная цистерна
bronze weld;"соединение, паянное бронзой; шов, полученный при сварке бронзой"
bronzes;бронза
brush;щетка
buck;(транспортная) рама, тележка
buckle;Стяжка, продольный изгиб
buckler;клюзовая крышка
Buckling stiffener;Ребро жесткости против выпучивания (против продольного изгиба)
Budgetary funds;Бюджетные средства
Buffer;Резервный запас, буфер
Buffer area;Накопитель
Buffer;Резервный запас
build-in;встроенный
build-in safe;встроенный сейф
building berth;стапель
Building berth beam;Стапельная балка
Building berth position;Стапельное положение (горизонт)
Building berth stay;Стапельная тумба
Building berth support;Стапельный стул
Building supervision;Надзор во время строительства
bulb;(судовой) бульб
Bulb angle;Углобульб, углобульбовый профиль
bulb profile;полособульбовый профиль
bulge;выпуклость
Bulk carrier;балкер
Bulk density;Объемная плотность
Bulk-cum-ore carrier;Балкер-рудовоз
Bulkhead opening;Проем переборки
Bull’s eye;Глухой иллюминатор
bulwark;Фальшборт
Bulwark door;Штормовой порт
bunker station;бункерная станция
bunkered fuel;топливо для котлов и двигателей
Buoyancy center;Центр величины
bureau;бюро
Burglary hook;Охранный крючок
burn;Зазубрина, прожог, провар, проплавление
burn through;прожег
Burner;Форсунка, горелка
burnish;полировка, блеск
burrs;заусеницы, шероховатости
bush(ing);втулка
Business entity;Торгово-промышленное предприятие, торговая фирма
Business liability;Деловое обязательство
butt;стык, торец
butt resistance weld;соединение, полученное при стыковой сварке сопротивлением
butt seam weld;шов, полученный посредством роликовой сварки в стык
butt weld;стыковой шов, стыковое сварное соединение
butterfly valve;клапан дроссельной заслонки
buttering;Наплавка кромок
butt-insertion plate;заделка в стык
By parol;Устно
bypass;обход
By-pass piping;Перепускной трубопровод
By-pass valve;Возвратный клапан
C;
cabin door;дверь каюты
Cable box;Кабельная коробка
cable laying;прокладка кабеля
cable laying way;путь прокладки кабеля
Cable run;Кабельная трасса
Cable shot up on;Кабельные подключения (?)
Cable tray;Кабельная коробка
Cable tray ( финск.);Кабельная трасса
Cable trunk;Шахта кабельных каналов
Cagey reply;Уклончивый ответ
calculation scheme;расчетная схема
Caliber;Калибр, диаметр
calibration;Поверка
Call for inspection;Вызов на инспекцию
call letter;позывная буква
Calling system;Вызывающая система
Calm water;Тихая вода
camber;Прогибь, выгиб, прогиб, развал
Can;"Металлическая (стеклянная, керамическая) тара; банка; канистра; баллон"
Cancellation;Отмена, аннулирование
Cans;Наушники
canteen;Столовая
Cantilever;Консоль
cap;насадка
Cap nut;Глухая гайка
capillaries’;капилярный
capital fund;основной фонд
capital repair;капитальный ремонт
capital stock;акционерный (основной) капитал
capstan;(якорный) шпиль, кабестан
captain’s bridge;капитанский мостик
Captain’s office;Канцелярия капитана
captive connection;накидное соединение
carbon;углерод
carbon residue;остаточный углерод
carbonaceous;углеродистый
Carburized part;Цементируемая деталь
Carburizing;Цементация
Carcinogenic;Канцерогенный
Cardan shaft;Карданный вал
careening;кренгование, кренование
Careless or knowing misuse;Злоупотребление из-за невнимательности или сознательное злоупотребление
cargo;грузовой
Cargo carrier;Грузовое судно
Cargo deadweight;Чистая грузоподьемность
cargo handling gear;грузоподьемное устройство
Cargo hold section;"Цилиндрическая вставка; секция грузового трюма"
Cargo lashing eye pocket;Ниша для грузовых люверсов
Cargo manifold;Грузовая магистраль
Cargo rail;Грузовой леер
carling;Карленгс
carpet covering;ковровое покрытие
carriage;тележка
Carrying capacity;Несущая способность
Carrying equipment;Грузоподьемное оборудование
Carry-over table;Транспортный рольганг
cartridge;патрон, картридж
Case by case;От ящика к ящику
casing;кожух, корпус, обрешетник, шахта МКО
casing of pipelines;зашивка трубопроводов
cast;отливка
cast iron;чугун
cast iron pig;литая чушка
Cast steel;Литая сталь, стальная отливка
casting;отливка, литье, разливка, заливка
castings;Литье (изделие)
casual;временный
catch bin;приспособление для захвата бумаги
catching;захватывание
catheter;катет
caulk weld;уплотняющий шов, плотный шов, не несущий нагрузки
caulks;конопатка
cavity;Впадина, прогиб
ceiling;настилка, подволок, потолок
Cell;Элемент, клетка, ячейка
Cellguide bracket;Направляющая бракета
Cement bulk;Цементная масса
Census returns;Результаты переписи
Center girder;Вертикальный киль, средний кильсон
Centering diameter;Центрирующий диаметр
center-popping;кренование
central control station;центральный пост управления
central line;диаметральная плоскость
Ceramic backing strip;Керамическая планка
Ceramic strap;Керамическая планка
certificate;сертификат, паспорт, свидетельство
certification;Аттестация
Cetane number;цетановое число
chafing lip;губа клюза
chain;цепь
Chain conveyor;Цепной конвейер
chain intermittent weld;цепной прерывистый шов (сварка)
chain locker;цепная коробка, цепной ящик
Chain stopper;Стопор якорной цепи
chair with armrest;стул с подлокотниками
Chairman of board of directors;Председатель правления директоров
Chamber of Commerce and Industry;торгово-промышленная палата
chamfer;скашивать, стесывать,делать желобки, вынимать пазы, снимать фаску, скошенная кромка, стесанное ребро, фаска, скос
chamfering;Снятие фасок, зенкование, закругление кромок
chamfering machine;станок для снятия фаски
channel;швеллер, канал
Channel bar;Швеллер
Channel heater (in welding machine);Нагревательный элемент (канальный) (в сварочном аппарате)
chapter;глава
characteristic;характерная особенность чего-либо
Charge;"Плата, сбор, тариф, начисление, издержки, цена; загрузка, нагрузка"
charged;заряженный
charity;благотворительность
Chart;Карта, схема, таблица, график
chart table;стол для ведения прокладки
check;Отметка о проверке
Check measure;Контрольный размер
Check point;Отметка
checklist;технологическая карта, контрольный перечень, контрольная таблица, перечень комплекта поставки, карта проверки, ведомость технического контроля
chemical;химический
Chemical composition;Химический состав
cherry picker;Подъемный механизм
chicken wire;мелкоячеистая сетка
chief engineer;старший механик
Chief of technological preparation group;Руководитель группы технологической подготовки
Chilled-iron grit;Отбеленный чугунный грит
Chimney;Дымовая труба
chipping;щебенка, стружки, осколки, очистка зубилом
Chock;Полу-клюз, клин
chockfast;клиновая прокладка
Chromium-nickel hidh grade steel;Хромоникелевая высококачественная сталь
chromium-plating;хромирование
chuck;патрон
cigarette-butt;окурок
circuit breaker;выключатель
Circular tank;Цистерна с круглым сечением
circular weld;кольцевой (круговой) шов
Circularity;Круглость
Circumstance;Обстоятельство
CIS countries;СНГ
Clad;Покрытый, плакированный, облицованный, армированный
Cladding;Плакирование, покрытие, зашивка
Claim Log;Журнал замечаний
clamp;зажим, скоба, струбцина
Clamping fixture;Зажимное приспособление
Clamping force;Усилие зажима
classification society;классификационное общество
claw;лапа (механизма)
clayey;глинистый
Clean oil;"Масло без присадок; чистая нефть"
cleaning cover;очистная крышка
Cleaning gear;Очистное устройство
Cleaning rate;Норма очистки
clear;Устранить (дефекты)
Clear height;Высота в свету
clear up;уточнять
clearance;зазор
Clearing coaming;Закрывающий комингс (?)
Cleat;Клин, скоба, планка, рейка, киповая планка, задрайка
Clevis;"Вилка, серьга; скоба, хомут"
clews;клюз
Client’s scope of work;Объем работ клиента
Climate and ventilation lines;Климатические и вентиляционные каналы
clip;соединительный угольник, зажим, коротыш, подвеска
Clocking-in card;Карточка табельного учета
Clockwise direction;Направление по часовой стрелке
closed double-bevel butt weld;К-образный стыковой шов с двумя (симметричными) скосами одной кромки без зазора
closed single-bevel butt weld;V-образный стыковой шов со скосом двух кромок без зазора
closed square butt weld;бесскосный стыковой шов без зазора
closed weld;шов с подготовкой кромок без зазора
Clothing wardrobe locker;Бельевой шкаф
clutch;зубчатая муфта
CO2 bottle;Баллон СО2
coaming;комингс
coarse;грубый, крупный, крупнозернистый, шероховатый, необделанный, сырой
coarse breaking;первичное дробление
coating;покрытие, обмазка
Coffee maker;Кофеварка
coffer;кессон
cofferdam;коффердам
coil;Змеевик, катушка
coincidence;Совпадение
coke;кокс
cold bend;холодный загиб
cold weld;непровар
collar;хомут, обжимка, шейка, утолщение
collar of rubber;резиновый хомут
collar plate;обделочный лист, заделка, обделочная накладка
collection;скопление
Collision bulkhead;Таранная переборка
Colon;Двоеточие
Coloured fault detection for cracks;Цветная дефектоскопия на отсутствие трещин
comb;гребенка
combination;совмещение
Come off;Отставать
Comfort insulation;Изоляция для обеспечения комфорта
commencement;начало
Commensurate;Соответственный, соответствующий, соразмерный, соизмеримый
Commission;Пуск в действие, введение в эксплуатацию
Commissioning;Введение корабля в строй
commissioning period;период пуско-наладочных работ
Commissioning works;Приемка
commitment (on the contract);обязательство
Commonwealth of Independence States;Содружество Независимых Государств
Communication facilities;Средства связи
Communications;Коммуникации, связи
companion;тамбур сходного люка, сходный трап, светлый люк
Companion flange;Сболчиваемое фланцевое соединение
companion ladder;сходный трап
Compass bearing;Пеленгатор компаса
Compass bridge;Компасный мостик
Compass repeater;Репитер компаса
compatibility;совместимость
Competition;Конкурс, соревнование
complete set;комплект
completed article;укомплектованное изделие
completeness;Полнота (сборки)
complete-penetration weld;шов с полным проплавлением
completing;комплектация
completing part;дельная вещь
Completion plan;План выполнения работ
complex;сложный
complex mixture;сложная смесь
Compliance;Соответствие, согласие, уступчивость, угодливость, податливость
Compliance test;Проверка соответствия
component;комплектующее изделие,составляющая
composite weld;прочно-плотный шов
composition;составление,состав, сплав
Compressed air line;Магистраль сжатого воздуха
Compression;Сжатие, обжатие, компрессия
Compression strength;Прочность на сжатие
compressor;компрессор
Compulsory;Обязательный (для всех), принудительный
Compulsory measures;Принудительные меры
computer network;компьютерная сеть
Concave;Вогнутый
concave weld;облегченный шов
Concerns;Дела
Cond.&feed. Water system;Система конденсатно-питательной воды
conducting;проведение
Conductivity;Удельная проводимость, электропроводимость
Conductivity gauge;Прибор для измерения удельной проводимости
Cone;Конус, воронка
Confidence level;Уровень достоверности, доверительный уровень, уровень значимости
configuration;конфигурация
Conformable;Соответственный, соответствующий, соразмерный, соизмеримый
conic tip;конический наконечник
Connection lug;заделка
Connection lug one-sided;Односторонняя заделка
connection rail;переходная рельса
connector;Соединитель
considerable;Значительный
consignee;грузополучатель
consolidation;укрепление
Constant static pressure;Постоянное статическое давление
Construction documents;Рабочая документация
Consultancy;Дача консультаций, консультирование
Consumables;Потребительские товары
consumption;расход, потребление, затрата, износ
Contact thermocouple;Контактная термопара
container fittings;гнезда для крепления контейнеров
container for abrasive collection with cascade cleaner and with outlets;контейнер для сбора абразива с каскадным очистителем и выходами
container vessel;контейнеровоз
Containment system;Система защиты
contamination;загрязнение
contemporary;современный
continuation;Продолжение
continuous emersion;непрерывное всплытие
Continuous output (power);Продолжительная (длительная) мощность
continuous seam weld;шов, полученный при непрерывной роликовой сварке
continuous weld;непрерывный шов
contracting;Заключение контрактов
Contracting party;Договаривающаяся сторона
Contractor;Подрядчик
contrast painting;контрастная окраска
Contra-tape;"Защитная лента; клейкая лента для защиты с обратной стороны"
Control and measuring instruments;Средства контроля и измерений
Control box;Блок управления
Control cabinet;Камера управления
Control console;Пульт управления
Control cubicle;Пульт управления
Control desk;Пульт управления
control post;центральный пост управления
Controlling transformer;Регулируемый трансформатор
convection;Конвекция
convection oven;конвекционная плита
Conventional;классический
conventional name;условное обозначение
conversion;Переоборудование, модернизация
Converting (of blocks);Конвертовка (блоков)
convex weld;усиленный шов
conveyer;конвеер, транспортер
conveying speed;скорость перемещения
cook;кок
Cooking table;Разделочный стол
Cooling water expansion tank;Расширительная цистерна холодной воды
copper;медь
Copper steam pipe for heating;Труба-«спутник»
cordon line;линия кордона
core;сердечник
corner weld;шов углового соединения
Cornice;Карниз
cornicher;Карниз
Corporate culture;Культура производства
correction;Поправка, исправление, корректирование, коррекция, регулирование
Correction factor;Поправочный коэффициент
corrector of mass;корректор масс
Corresponding;Соответственный, соответствующий, соразмерный, соизмеримый
Corrosive;Корродирующее вещество
corrugated bulkhead;Гофрированная переборка
Corrugated recess;Гофрированная выгородка
Corrugation;Гофр, рифление, волнистость
Corten(датск.);Никелесодержащие электроды (?)
corundum;Корунд
cost value;себестоимость
Cotter;"Клин; чека; шплинт; заклинивать; ставить чеку; ставить шплинт; зашплинтовывать"
Cotter bolt;Болт с головкой под чеку
Cotter pin;"Шплинт; разводная чека"
Counterclockwise direction;Направление против часовой стрелки
Countersunk screw;Винт с потайной головкой
coupling;муфта
cover;крышка
Cover hinge;Петля крышки
Cover plate;Крышка, стыковая накладка, лючок
Coverage;"Охват, обеспечение, покрытие; общая сумма риска, покрытая договором"
Covered storage space;Крытое место для хранения
cowl;раструб, дефлектор
CPU;Центральный процессор (ЦПУ)
crack;трещина
